作品ID,作品名称,原文名称,主分类,游戏类型,主要角色,发行年份,平台,发行公司,版本类型,配音,版本差异,来源
g021,弟切草,弟切草,视觉小说,有声小说／恐怖,待核实,1992,超级任天堂,Chunsoft,首发,无,“有声小说”指音乐与音效，不保证角色配音。,https://www.spike-chunsoft.co.jp/company/outline/
g040,Snatcher,スナッチャー,文字冒险,科幻／赛博朋克侦探,吉利安·希德、Metal Gear Mk.II,1992,PC Engine SUPER CD-ROM²,Konami,有声移植,有,新增角色语音与扩充剧情表现。,https://www.konami.com/games/pcemini/lineup/jp/ja/
g022,镰鼬之夜,かまいたちの夜,视觉小说,有声小说／推理,透、真理,1994,超级任天堂,Chunsoft,首发,无,作品最早确认的版本。,https://www.spike-chunsoft.co.jp/pages/games/kama/
g023,心跳回忆,ときめきメモリアル,Galgame,恋爱模拟,藤崎诗织、虹野沙希、馆林见晴,1994,PC Engine SUPER CD-ROM²,Konami,首发,有,恋爱模拟，不属于狭义视觉小说。,https://www.konami.com/games/tokimeki/about/index.html
g023,心跳回忆,ときめきメモリアル,Galgame,恋爱模拟,藤崎诗织、虹野沙希、馆林见晴,1995,PlayStation,Konami,增强移植,有,《forever with you》改良画面与音效。,https://www.konami.com/games/corporate/ja/news/topics/20250203/
g024,雫,雫,视觉小说,悬疑／成人向,待核实,1996,Windows,Leaf,首发,无,Leaf Visual Novel Series 第 1 作；兼属广义 Galgame。,https://pc98.info/pc-game-history-05-windows-and-the-end/
g025,痕,痕,视觉小说,悬疑／成人向,待核实,1996,Windows,Leaf,首发,无,兼属广义 Galgame。,https://pc98.info/pc-game-history-05-windows-and-the-end/
g038,YU-NO,この世の果てで恋を唄う少女YU-NO,视觉小说,科幻／多线冒险,有马拓哉、波多野神奈、岛津澪、尤诺,1996,PC-9800,ELF,首发,未核实,原版多线剧情与宝玉系统；当年配音情况需逐版核对。,https://yu-no.jp/spec/ps/
g026,ToHeart,ToHeart,视觉小说,校园恋爱,藤田浩之、神岸明里、来栖川芹香、玛尔琪（Multi）,1997,Windows,Leaf,首发,无,兼属 Galgame；1999 年 PlayStation 版加入角色配音。,https://aquaplus.jp/toheart/en.html
g038,YU-NO,この世の果てで恋を唄う少女YU-NO,视觉小说,科幻／多线冒险,有马拓哉、波多野神奈、岛津澪、尤诺,1997,Sega Saturn,ELF,家用机移植,有,新增角色配音并调整表现与内容。,https://yu-no.jp/spec/ps/
g027,双重角色,ダブルキャスト,互动动画,全动画／悬疑,美月,1998,PlayStation,Sony Computer Entertainment,首发,有,“やるドラ”系列；由 Production I.G 制作动画。,https://www.productionig.com/contents/works/05_/000169.html
g026,ToHeart,ToHeart,视觉小说,校园恋爱,藤田浩之、神岸明里、来栖川芹香、玛尔琪（Multi）,1999,PlayStation,AQUAPLUS,全年龄移植,有,重写与补充部分内容，并加入角色配音。,https://aquaplus.jp/th/
g028,Kanon,Kanon,视觉小说,恋爱／奇幻,相泽祐一、月宫亚由、水濑名雪,1999,Windows,VisualArt’s / Key,首发,无,兼属 Galgame；按 Windows 初版。,https://key.visualarts.gr.jp/product/kanon/
g029,AIR,AIR,视觉小说,恋爱／奇幻,国崎往人、神尾观铃、神尾晴子,2000,Windows,VisualArt’s / Key,首发,无,兼属 Galgame。,https://key.visualarts.gr.jp/key20th/history.html
g028,Kanon,Kanon,视觉小说,恋爱／奇幻,相泽祐一、月宫亚由、水濑名雪,2002,PlayStation 2,Interchannel,家用机移植,有,家用机版提供角色配音；主角配音因版本而异。,https://www.prot.co.jp/switch/kanon/introduction.html
g030,CLANNAD,CLANNAD,视觉小说,校园／家庭,冈崎朋也、古河渚、坂上智代,2004,Windows,VisualArt’s / Key,首发,无,2004 年 4 月 28 日首发；兼属广义 Galgame。,https://key.visualarts.gr.jp/key20th/history.html
g031,Fate/stay night,Fate/stay night,视觉小说,奇幻／战斗,卫宫士郎、Saber、远坂凛、间桐樱,2004,Windows,TYPE-MOON,首发,无,官网明确列出初版角色配音“无”；后续版本不同。,https://www.typemoon.com/products/fate/data/index.html
g032,星之梦,planetarian ～ちいさなほしのゆめ～,视觉小说,单线剧情／科幻,星野梦美、废墟猎人（屑屋）,2004,Windows 在线下载,VisualArt’s / Key,首发,有（部分）,最初的在线版仅有部分语音；2006 年 PS2 版扩充为全配音。,https://www.prot.co.jp/ps2/planetarian/index.html
g027,双重角色,ダブルキャスト,互动动画,全动画／悬疑,美月,2005,PSP,Sony Computer Entertainment,掌机移植,有,将PlayStation全动画多结局作品移植至PSP。,https://www.productionig.com/contents/works_sp/31_/index.html
g033,日在校园,School Days,互动动画,全动画／恋爱剧情,伊藤诚、桂言叶、西园寺世界,2005,Windows,Overflow（STACK）,首发,有,兼属视觉小说与 Galgame；首发 2005 年，2025 年为 20 周年。,https://0verflow.com/sdre_live/
g030,CLANNAD,CLANNAD,视觉小说,校园／家庭,冈崎朋也、古河渚、坂上智代,2006,PlayStation 2,Interchannel,家用机移植,有,原版内容移植至主机，加入角色配音。,https://key.visualarts.gr.jp/clannad_10th/
g032,星之梦,planetarian ～ちいさなほしのゆめ～,视觉小说,单线剧情／科幻,星野梦美、废墟猎人（屑屋）,2006,PlayStation 2,PROTOTYPE,全配音移植,有,原2004年Windows版仅部分声音，本版加入包括主角在内的完整配音。,https://www.prot.co.jp/ps2/planetarian/index.html
g031,Fate/stay night,Fate/stay night,视觉小说,奇幻／战斗,卫宫士郎、Saber、远坂凛、间桐樱,2007,PlayStation 2,角川书店,全年龄移植,有,《Realta Nua》加入角色配音与新演出。,https://typemoon.com/contents/9ncnes/fate-stay-night-realta-nua
g030,CLANNAD,CLANNAD,视觉小说,校园／家庭,冈崎朋也、古河渚、坂上智代,2008,Windows,VisualArt’s / Key,全配音修订版,有,《CLANNAD フルボイス》，与2004年无配音初版区分。,https://key.visualarts.gr.jp/clannad_10th/
g034,428：被封锁的涩谷,428 ～封鎖された渋谷で～,视觉小说,实拍有声小说／群像悬疑,加纳慎也、远藤亚智、御法川实,2008,Wii,世嘉（开发：Chunsoft）,首发,未核实,“有声小说”不等于对白配音；首发 2008 年。,https://www.nintendo.co.jp/wii/software/rtoj/index.html
g035,弹丸论破：希望的学园与绝望高中生,ダンガンロンパ 希望の学園と絶望の高校生,视觉小说,推理／辩论,苗木诚、雾切响子、黑白熊,2010,PSP,Spike,首发,有,推理冒险含角色配音；不是恋爱游戏。,https://www.spike-chunsoft.co.jp/news/17141/
g039,WHITE ALBUM2,WHITE ALBUM2 -introductory chapter-,视觉小说,恋爱／群像,北原春希、小木曾雪菜、冬马和纱,2010,Windows,Leaf / AQUAPLUS,首发／序章,有,仅含《introductory chapter》，完整后续剧情后来发行。,https://blog.aquaplus.jp/archives/2352
g039,WHITE ALBUM2,WHITE ALBUM2 -introductory chapter-,视觉小说,恋爱／群像,北原春希、小木曾雪菜、冬马和纱,2011,Windows,Leaf / AQUAPLUS,续篇及整合版,有,《closing chapter》发行，部分商品附《introductory chapter》内容。,https://blog.aquaplus.jp/archives/2352
g031,Fate/stay night,Fate/stay night,视觉小说,奇幻／战斗,卫宫士郎、Saber、远坂凛、间桐樱,2012,PlayStation Vita,角川游戏,掌机移植,有,以《Realta Nua》为基础适配Vita。,https://www.typemoon.com/products/fatevita/character/
g039,WHITE ALBUM2,WHITE ALBUM2 -introductory chapter-,视觉小说,恋爱／群像,北原春希、小木曾雪菜、冬马和纱,2012,PlayStation 3,AQUAPLUS,合集与全年龄修订,有,《幸せの向こう側》合并章节，新增剧情、CG及动态立绘。,https://aquaplus.jp/wa2/product.html
g039,WHITE ALBUM2,WHITE ALBUM2 -introductory chapter-,视觉小说,恋爱／群像,北原春希、小木曾雪菜、冬马和纱,2013,PlayStation Vita,AQUAPLUS,掌机移植,有,增加小说显示模式、画面切换与名场面提示。,https://aquaplus.jp/wa2vita/products/
g038,YU-NO,この世の果てで恋を唄う少女YU-NO,视觉小说,科幻／多线冒险,有马拓哉、波多野神奈、岛津澪、尤诺,2017,PlayStation 4,5pb. / MAGES.,完全重制,有,新角色画面、重编音乐、角色配音；预购附原版移植DLC。,https://yu-no.jp/spec/ps/
g038,YU-NO,この世の果てで恋を唄う少女YU-NO,视觉小说,科幻／多线冒险,有马拓哉、波多野神奈、岛津澪、尤诺,2017,PlayStation Vita,5pb. / MAGES.,完全重制,有,与PS4版同期发行的掌机版。,https://yu-no.jp/spec/ps/
g034,428：被封锁的涩谷,428 ～封鎖された渋谷で～,视觉小说,实拍有声小说／群像悬疑,加纳慎也、远藤亚智、御法川实,2018,PlayStation 4,Spike Chunsoft,高清移植,未核实,面向现代主机重新发行。,https://www.spike-chunsoft.co.jp/news/1799/
g034,428：被封锁的涩谷,428 ～封鎖された渋谷で～,视觉小说,实拍有声小说／群像悬疑,加纳慎也、远藤亚智、御法川实,2018,Windows / Steam,Spike Chunsoft,高清移植,未核实,与PS4版同日发行的PC版。,https://www.spike-chunsoft.co.jp/news/1799/
g030,CLANNAD,CLANNAD,视觉小说,校园／家庭,冈崎朋也、古河渚、坂上智代,2019,Nintendo Switch,PROTOTYPE,高清移植,有,携带模式与多语言字幕；按Switch版发行年记录。,https://www.prot.co.jp/switch/clannad/spec.html
g038,YU-NO,この世の果てで恋を唄う少女YU-NO,视觉小说,科幻／多线冒险,有马拓哉、波多野神奈、岛津澪、尤诺,2019,Nintendo Switch,5pb. / MAGES.,重制移植,有,2017重制版移植至Switch。,https://yu-no.jp/spec/
g029,AIR,AIR,视觉小说,恋爱／奇幻,国崎往人、神尾观铃、神尾晴子,2021,Nintendo Switch,PROTOTYPE,高清移植,有,提供日语全配音，之后更新加入英语及简体中文字幕。,https://www.prot.co.jp/switch/air/spec.html
g035,弹丸论破：希望的学园与绝望高中生,ダンガンロンパ 希望の学園と絶望の高校生,视觉小说,推理／辩论,苗木诚、雾切响子、黑白熊,2021,Nintendo Switch,Spike Chunsoft,纪念版移植,有,收入系列合集，也提供单独下载。,https://www.spike-chunsoft.co.jp/news/13989/
g036,月姬：月之玻璃片,月姫 -A piece of blue glass moon-,视觉小说,奇幻／悬疑,远野志贵、爱尔奎特、希耶尔、远野秋叶,2021,Nintendo Switch,TYPE-MOON,同步首发,有,与PlayStation 4版同年发行；非2000年PC原版。,https://typemoon.com/products/tsukihime/
g036,月姬：月之玻璃片,月姫 -A piece of blue glass moon-,视觉小说,奇幻／悬疑,远野志贵、爱尔奎特、希耶尔、远野秋叶,2021,PlayStation 4,TYPE-MOON,重制首发,有,2021 年重制新作；2000 年同人原作另有年份。,https://typemoon.com/products/tsukihime/
g014,时间少女,タイムギャル,互动动画,激光影碟／动作选择,玲香（レイカ）、鲁达（ルーダ）,2023,Nintendo Switch,太东,高清复刻,有,收录于太东LD游戏合集，升级画面并保留互动动画。,https://www.taito.co.jp/taitoldgamecollection
g028,Kanon,Kanon,视觉小说,恋爱／奇幻,相泽祐一、月宫亚由、水濑名雪,2023,Nintendo Switch,PROTOTYPE,高清移植,有（主角部分）,高清画面与日语角色配音；主角仅部分场景有声。,https://www.prot.co.jp/switch/kanon/spec.html
g012,北海道连锁杀人：鄂霍次克消失,北海道連鎖殺人 オホーツクに消ゆ,文字冒险,图文选项／推理,刑警（版本设定不同）、黑木五郎（早期PC版）、猿渡俊介（后续版）,2024,Nintendo Switch,G-MODE,重制,有,依据红白机版重制，新增后续故事与人物配音。,https://info.gmodecorp.com/cs/okhotsk/
g012,北海道连锁杀人：鄂霍次克消失,北海道連鎖殺人 オホーツクに消ゆ,文字冒险,图文选项／推理,刑警（版本设定不同）、黑木五郎（早期PC版）、猿渡俊介（后续版）,2024,Windows / Steam,G-MODE,重制,有,与Switch同款重制版；按平台单独登记。,https://info.gmodecorp.com/cs/okhotsk/products/
g031,Fate/stay night,Fate/stay night,视觉小说,奇幻／战斗,卫宫士郎、Saber、远坂凛、间桐樱,2024,Nintendo Switch,TYPE-MOON,高清复刻,有,基于Vita版，画面高清化并增加多语言文本。,https://typemoon.com/products/f-sn/
g031,Fate/stay night,Fate/stay night,视觉小说,奇幻／战斗,卫宫士郎、Saber、远坂凛、间桐樱,2024,Windows / Steam,TYPE-MOON,高清复刻,有,与Switch版同期发布的《REMASTERED》。,https://typemoon.com/products/f-sn/
g014,时间少女,タイムギャル,互动动画,激光影碟／动作选择,玲香（レイカ）、鲁达（ルーダ）,2025,Windows / Steam,太东,高清复刻移植,有,高清复刻版在Steam发行。,https://www.taito.co.jp/mob/topics/36776
g023,心跳回忆,ときめきメモリアル,Galgame,恋爱模拟,藤崎诗织、虹野沙希、馆林见晴,2025,Nintendo Switch,Konami,复刻,有,《forever with you エモーショナル》加入EVS呼名功能与图像切换。,https://www.konami.com/games/corporate/ja/news/topics/20250508/
g033,日在校园,School Days,互动动画,全动画／恋爱剧情,伊藤诚、桂言叶、西园寺世界,2025,Windows,Overflow（STACK）,高清复刻,有,《School Days REMASTERED》重做现代系统兼容性，保留动画式叙事。,https://0verflow.com/sdrm/
g037,ToHeart（重制版）,ToHeart,视觉小说,校园恋爱／重制,藤田浩之、神岸明里、玛尔琪（Multi）,2025,Nintendo Switch,AQUAPLUS,重制首发,有,1997 年原作的 2025 年重制版，单独列示；平台发行方有别。,https://aquaplus.jp/toheart/en.html
g037,ToHeart（重制版）,ToHeart,视觉小说,校园恋爱／重制,藤田浩之、神岸明里、玛尔琪（Multi）,2025,Windows / Steam,DMM GAMES、Shiravune,同步首发,有,3D重制；可切换新旧配音，Steam平台发行方与日版不同。,https://aquaplus.jp/toheart/en.html
